id,category,x,y,width,height,filename
aisle_01_a,shelf,805,70,84,145,shelves/aisle_01_a.png
aisle_01_b,shelf,805,194,84,205,shelves/aisle_01_b.png
aisle_02_a,shelf,1002,70,82,145,shelves/aisle_02_a.png
aisle_02_b,shelf,1002,194,82,205,shelves/aisle_02_b.png
aisle_03_a,shelf,1110,70,84,145,shelves/aisle_03_a.png
aisle_03_b,shelf,1110,194,84,205,shelves/aisle_03_b.png
aisle_04_a,shelf,1215,68,83,147,shelves/aisle_04_a.png
aisle_04_b,shelf,1215,194,83,205,shelves/aisle_04_b.png
aisle_05_a,shelf,1320,67,84,148,shelves/aisle_05_a.png
aisle_05_b,shelf,1320,194,84,205,shelves/aisle_05_b.png
aisle_06_a,shelf,1411,67,82,148,shelves/aisle_06_a.png
aisle_06_b,shelf,1411,194,82,205,shelves/aisle_06_b.png
aisle_07_a,shelf,1514,67,96,148,shelves/aisle_07_a.png
aisle_07_b,shelf,1514,194,96,205,shelves/aisle_07_b.png
aisle_08_a,shelf,1665,67,95,148,shelves/aisle_08_a.png
aisle_08_b,shelf,1665,194,95,205,shelves/aisle_08_b.png
endcap_01,shelf,732,212,80,118,shelves/endcap_01.png
freezer_wall_01,cold_counter,241,313,168,110,counters/freezer_wall_01.png
freezer_wall_02,cold_counter,404,300,181,106,counters/freezer_wall_02.png
freezer_wall_03,cold_counter,579,259,180,115,counters/freezer_wall_03.png
produce_01,produce_counter,922,370,160,166,counters/produce_01.png
produce_02,produce_counter,1107,370,163,166,counters/produce_02.png
produce_03,produce_counter,1270,371,166,166,counters/produce_03.png
produce_04,produce_counter,1430,372,165,164,counters/produce_04.png
candy_tower_01,display_tower,671,362,132,129,counters/candy_tower_01.png
candy_tower_02,display_tower,670,488,133,128,counters/candy_tower_02.png
promo_island_01,island_shelf,834,544,201,139,shelves/promo_island_01.png
promo_island_02,island_shelf,1088,545,185,137,shelves/promo_island_02.png
promo_island_03,island_shelf,1353,546,171,137,shelves/promo_island_03.png
fresh_chilled_island_01,cold_counter,1552,568,198,108,counters/fresh_chilled_island_01.png
fresh_wall_counter_01,cold_counter,1674,365,120,316,counters/fresh_wall_counter_01.png
checkout_01,checkout,313,431,91,231,checkout/checkout_01.png
checkout_02,checkout,505,413,90,250,checkout/checkout_02.png
checkout_barrier,checkout_fixture,486,394,128,84,checkout/checkout_barrier.png
stock_boxes_dolly,operation_prop,110,349,140,150,operations/stock_boxes_dolly.png
beverage_crates,operation_prop,105,469,72,102,operations/beverage_crates.png
cart_stack,operation_prop,103,588,194,105,operations/cart_stack.png
plant_top_left,decor,803,35,42,66,decor/plant_top_left.png
plant_freezer_left,decor,82,340,49,78,decor/plant_freezer_left.png
plant_bottom_left,decor,69,609,53,82,decor/plant_bottom_left.png
plant_bottom_right,decor,1762,630,51,70,decor/plant_bottom_right.png
